recno,raj2000,dej2000,vmag,e_vmag,bmag,e_bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,target_separation (deg)
16266089,7.301866,-30.45406,11.608,0.036,12.754,0.03,12.205,0.082,11.118,0.028,10.718,0.111,TOI-178,7.30126216402,-30.453740793620000,15.9,150.032,-87.132,57.38,6.1060892536394E-04
16266089,7.301866,-30.45406,11.608,0.036,12.754,0.03,12.205,0.082,11.118,0.028,10.718,0.111,TOI-178,7.30126216402,-30.453740793620000,15.9,150.032,-87.132,57.38,6.1060892536394E-04
16266089,7.301866,-30.45406,11.608,0.036,12.754,0.03,12.205,0.082,11.118,0.028,10.718,0.111,TOI-178,7.30126216402,-30.453740793620000,15.9,150.032,-87.132,57.38,6.1060892536394E-04
16266089,7.301866,-30.45406,11.608,0.036,12.754,0.03,12.205,0.082,11.118,0.028,10.718,0.111,TOI-178,7.30126216402,-30.453740793620000,15.9,150.032,-87.132,57.38,6.1060892536394E-04
16266089,7.301866,-30.45406,11.608,0.036,12.754,0.03,12.205,0.082,11.118,0.028,10.718,0.111,TOI-178,7.30126216402,-30.453740793620000,15.9,150.032,-87.132,57.38,6.1060892536394E-04
36396250,7.328802,-76.304033,9.657,0.0,10.082,0.087,10.331,0.532,9.822,0.301,9.484,0.0,HD 2685,7.328968993040000,-76.30406155944,5.0667,-2.926,6.848,3.64,4.87746160776597E-05
37458383,7.709467,-40.573472,11.675,0.1,12.155,0.008,11.892,0.014,11.671,0.078,11.512,0.103,WASP-190,7.709311949370000,-40.57342150294,1.791,38.34,-9.255,0.61,1.28141541467808E-04
3440089,8.386393,61.860648,12.528,0.012,13.411,0.024,12.933,0.029,12.233,0.018,11.903,0.029,TOI-6029,8.386259713920000,61.86074930223,1.6721,-0.471,3.857,0.0,1.1922045379316E-04
16862426,8.740004,4.380917,,,10.166,0.0,10.204,0.106,,,,,HD 3167,8.73968422165,4.38146780362,21.1363,107.569,-173.334,19.456,6.36432300448172E-04
16862426,8.740004,4.380917,,,10.166,0.0,10.204,0.106,,,,,HD 3167,8.73968422165,4.38146780362,21.1363,107.569,-173.334,19.456,6.36432300448172E-04
3147281,9.45875,51.288807,11.089,0.037,11.541,0.024,11.267,0.032,10.996,0.041,10.93,0.046,WASP-93,9.45879240704,51.28876688159,2.6882,-6.994,2.571,-0.38,4.80921938633236E-05
2546056,9.516599,34.711429,12.853,0.055,13.834,0.051,13.381,0.176,12.5,0.034,12.275,0.174,HAT-P-19,9.51672320809,34.7115426496,4.9567,-26.745,-32.568,-19.61,1.5277829049722E-04
2686767,9.573116,42.463126,10.861,0.079,11.415,0.134,11.032,0.106,10.746,0.06,10.751,0.633,HAT-P-16,9.573160010010000,42.46311576062000,4.4958,-21.535,-4.582,-15.51,3.40430965932644E-05
16871352,9.821763,7.277061,14.543,0.176,16.055,0.064,15.321,0.035,13.971,0.135,13.17,0.156,K2-149,9.821887215770000,7.27709364569,8.0704,-31.166,-23.175,0.0,1.2746660589971E-04
3376216,10.089019,61.213432,13.459,0.036,14.862,0.231,14.182,0.185,12.86,0.043,11.871,0.044,TOI-1470,10.088708631224200,61.213626750722200,19.3277,48.576,-55.734,3.54,2.45489836688127E-04
3376216,10.089019,61.213432,13.459,0.036,14.862,0.231,14.182,0.185,12.86,0.043,11.871,0.044,TOI-1470,10.088708631224200,61.213626750722200,19.3277,48.576,-55.734,3.54,2.45489836688127E-04
37473794,10.569896,-36.718006,12.693,0.028,14.21,0.025,13.396,0.026,12.108,0.044,10.784,0.028,TOI-244,10.570585612360000,-36.71817082717,45.2998,-154.88,45.632,15.141,5.76834837738496E-04
16849946,11.256402,0.593207,13.1,0.047,13.957,0.042,13.489,0.032,12.782,0.047,12.536,0.033,K2-206,11.256314698600000,0.59326435961,4.0495,25.938,-18.067,27.5297,1.0445497726244E-04
16868524,11.298356,6.481564,12.187,0.031,12.813,0.032,12.451,0.036,12.011,0.031,11.901,0.015,K2-217,11.29838602929,6.48157570793,2.6009,-4.218,2.818,-5.95,3.20521924306876E-05
16868471,11.480226,6.347017,12.476,0.052,13.563,0.024,13.015,0.033,12.011,0.05,11.691,0.01,K2-216,11.480243412720000,6.346985246980000,8.6884,-1.85,10.446,-26.1496,3.61628481650494E-05
16849933,11.699664,0.640656,13.166,0.052,13.906,0.043,13.486,0.029,12.951,0.054,12.75,0.019,K2-207,11.699702619310000,0.6408058557,2.7224,-12.667,-43.588,-3.1383,1.54751398764188E-04
36041018,12.547339,-83.743812,,,,,,,,,,,HD 5278,12.54126909676,-83.74389794726,17.4177,139.455,30.389,-30.3,6.67018974856475E-04
16859963,12.61397,5.871355,14.645,0.101,15.575,0.037,15.088,0.014,14.337,0.125,14.008,0.066,K2-385,12.613791891510800,5.871360390453060,2.445,65.454,-24.086,8.296,1.77256128345344E-04
16929261,12.769949,9.516761,11.912,0.022,12.611,0.048,12.219,0.056,11.725,0.035,11.575,0.05,K2-220,12.769872462750000,9.516801429150000,4.2757,30.833,-7.454,13.8281,8.56290429737012E-05
16803759,12.773728,-1.195876,,,,,,,,,,,K2-203,12.77373871773,-1.19588636452,5.9147,-11.103,0.45,19.5709,1.49078159445364E-05
16803758,12.773703,-1.195878,,,,,,,,,,,K2-203,12.77373871773,-1.19588636452,5.9147,-11.103,0.45,19.5709,3.66765011503114E-05
16803757,12.773702,-1.19588,,,,,,,,,,,K2-203,12.77373871773,-1.19588636452,5.9147,-11.103,0.45,19.5709,3.72573692591933E-05
16803755,12.773697,-1.19588,12.408,0.054,13.262,0.04,12.783,0.023,12.088,0.038,11.847,0.039,K2-203,12.77373871773,-1.19588636452,5.9147,-11.103,0.45,19.5709,4.21914450927448E-05
16803756,12.773697,-1.195878,,,,,,,,,,,K2-203,12.77373871773,-1.19588636452,5.9147,-11.103,0.45,19.5709,4.25391128290462E-05
16803753,12.773695,-1.19588,12.381,0.0,13.313,0.01,12.883,0.027,12.048,0.006,11.777,0.006,K2-203,12.77373871773,-1.19588636452,5.9147,-11.103,0.45,19.5709,4.41691581407859E-05
16803754,12.773695,-1.195878,,,,,,,,,,,K2-203,12.77373871773,-1.19588636452,5.9147,-11.103,0.45,19.5709,4.45013776445004E-05
16803752,12.773689,-1.195879,,,,,,,,,,,K2-203,12.77373871773,-1.19588636452,5.9147,-11.103,0.45,19.5709,5.02494988973605E-05
16869072,12.809632,6.846452,12.863,0.043,13.581,0.048,13.185,0.031,12.645,0.035,12.546,0.085,K2-218,12.80966269841,6.8464682118000000,2.5703,-11.469,-8.26,0.1491,3.45227848754525E-05
17779482,12.820642,12.78799,11.379,0.018,12.089,0.034,11.713,0.054,11.181,0.008,11.014,0.017,TOI-4638,12.82063937443,12.78804407271,5.8529,5.283,-13.543,-20.88,5.41332969876806E-05
3363000,12.841905,59.575843,12.558,0.024,13.556,0.105,13.069,0.103,12.317,0.029,12.101,0.04,TOI-3980,12.841791571410400,59.57584846767060,2.0067,17.139,2.82,-43.08,5.7699580136119E-05
16928803,12.845273,8.867558,12.075,0.011,12.77,0.04,12.379,0.04,11.893,0.013,11.768,0.052,K2-219,12.845265258860000,8.867639721150000,3.0537,7.132,-21.445,-19.96,8.20783017509325E-05
16928803,12.845273,8.867558,12.075,0.011,12.77,0.04,12.379,0.04,11.893,0.013,11.768,0.052,K2-219,12.845265258860000,8.867639721150000,3.0537,7.132,-21.445,-19.96,8.20783017509325E-05
16928803,12.845273,8.867558,12.075,0.011,12.77,0.04,12.379,0.04,11.893,0.013,11.768,0.052,K2-219,12.845265258860000,8.867639721150000,3.0537,7.132,-21.445,-19.96,8.20783017509325E-05
17783696,12.990787,13.078369,11.691,0.017,12.248,0.031,11.945,0.056,11.567,0.006,11.441,0.017,TOI-5301,12.990775690890000,13.07839536259,1.6515,5.671,-5.624,0.0,2.85715468427237E-05
2533567,13.000888,34.728413,13.081,0.036,13.825,0.084,13.401,0.083,12.834,0.037,12.598,0.038,HAT-P-28,13.00078172124,34.728390342370000,2.4728,25.615,2.712,48.06,9.02372985942315E-05
16931068,13.079938,10.79468,12.317,0.263,12.917,0.014,12.475,0.03,12.001,0.137,11.736,0.06,EPIC 220674823,13.079756556790000,10.794696215230000,4.0854,61.006,2.063,-15.4703,1.78968597471856E-04
16931068,13.079938,10.79468,12.317,0.263,12.917,0.014,12.475,0.03,12.001,0.137,11.736,0.06,EPIC 220674823,13.079756556790000,10.794696215230000,4.0854,61.006,2.063,-15.4703,1.78968597471856E-04
16931069,13.079986,10.794733,12.457,0.005,,,,,,,,,EPIC 220674823,13.079756556790000,10.794696215230000,4.0854,61.006,2.063,-15.4703,2.28365197286907E-04
16931069,13.079986,10.794733,12.457,0.005,,,,,,,,,EPIC 220674823,13.079756556790000,10.794696215230000,4.0854,61.006,2.063,-15.4703,2.28365197286907E-04
16856953,13.140378,3.507771,12.187,0.022,12.873,0.027,12.475,0.008,12.009,0.008,11.862,0.064,K2-213,13.140321102700000,3.50775912841,2.507,18.242,2.568,-6.373,5.80182616680794E-05
16929256,13.194326,9.692947,14.445,0.026,15.516,0.047,14.97,0.066,14.093,0.034,13.759,0.063,K2-283,13.194415993880000,9.69292573844,2.448,-11.003,-1.781,-5.682,9.12215267412097E-05
16926387,13.432135,7.995314,14.013,0.024,14.845,0.02,14.396,0.024,13.752,0.033,13.456,0.127,K2-282,13.43201404633,7.99531698508,2.0181,31.831,-5.943,-0.03,1.1981512409486E-04
16926387,13.432135,7.995314,14.013,0.024,14.845,0.02,14.396,0.024,13.752,0.033,13.456,0.127,K2-282,13.43201404633,7.99531698508,2.0181,31.831,-5.943,-0.03,1.1981512409486E-04
2954383,14.114095,48.637486,11.363,0.029,12.511,0.139,11.945,0.11,11.064,0.067,10.789,0.036,TOI-1472,14.113587322450000,48.63757545609,8.1964,103.399,-13.622,-13.53,3.47205535761832E-04
2954383,14.114095,48.637486,11.363,0.029,12.511,0.139,11.945,0.11,11.064,0.067,10.789,0.036,TOI-1472,14.113587322450000,48.63757545609,8.1964,103.399,-13.622,-13.53,3.47205535761832E-04
16808121,14.516993,-0.193523,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,9.01516633460937E-04
16808121,14.516993,-0.193523,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,9.01516633460937E-04
16808121,14.516993,-0.193523,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,9.01516633460937E-04
16808122,14.51866,-0.193534,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,9.24366152089772E-04
16808122,14.51866,-0.193534,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,9.24366152089772E-04
16808122,14.51866,-0.193534,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,9.24366152089772E-04
16808120,14.516826,-0.193532,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0010594030906703500
16808120,14.516826,-0.193532,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0010594030906703500
16808120,14.516826,-0.193532,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0010594030906703500
16808119,14.516823,-0.193536,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.001063630764869070
16808119,14.516823,-0.193536,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.001063630764869070
16808119,14.516823,-0.193536,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.001063630764869070
16808118,14.516817,-0.19353,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0010671193701400700
16808118,14.516817,-0.19353,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0010671193701400700
16808118,14.516817,-0.19353,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0010671193701400700
16808117,14.516756,-0.193543,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011288437336801300
16808117,14.516756,-0.193543,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011288437336801300
16808117,14.516756,-0.193543,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011288437336801300
16808116,14.516753,-0.193536,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011292878045028800
16808116,14.516753,-0.193536,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011292878045028800
16808116,14.516753,-0.193536,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011292878045028800
16808115,14.516721,-0.193525,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011559134327641400
16808115,14.516721,-0.193525,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011559134327641400
16808115,14.516721,-0.193525,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011559134327641400
16808114,14.516716,-0.193523,13.464,0.033,14.904,0.088,14.177,0.0,,,12.289,0.0,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011600186340688500
16808114,14.516716,-0.193523,13.464,0.033,14.904,0.088,14.177,0.0,,,12.289,0.0,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011600186340688500
16808114,14.516716,-0.193523,13.464,0.033,14.904,0.088,14.177,0.0,,,12.289,0.0,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011600186340688500
16808111,14.516705,-0.193523,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011704587671692800
16808111,14.516705,-0.193523,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011704587671692800
16808111,14.516705,-0.193523,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011704587671692800
16808113,14.516711,-0.193545,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011718805347793400
16808113,14.516711,-0.193545,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011718805347793400
16808113,14.516711,-0.193545,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011718805347793400
16808110,14.516703,-0.193523,,,14.852,0.0,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011723580731057400
16808110,14.516703,-0.193523,,,14.852,0.0,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011723580731057400
16808110,14.516703,-0.193523,,,14.852,0.0,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011723580731057400
16808112,14.516706,-0.193534,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011730074948122800
16808112,14.516706,-0.193534,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011730074948122800
16808112,14.516706,-0.193534,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011730074948122800
16808109,14.516703,-0.193531,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011748869086477600
16808109,14.516703,-0.193531,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011748869086477600
16808109,14.516703,-0.193531,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011748869086477600
16808108,14.516701,-0.193526,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011751987496240700
16808108,14.516701,-0.193526,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011751987496240700
16808108,14.516701,-0.193526,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011751987496240700
16808107,14.516697,-0.193523,13.494,0.186,14.782,0.025,14.143,0.029,12.85,0.087,12.164,0.017,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011780579904333900
16808107,14.516697,-0.193523,13.494,0.186,14.782,0.025,14.143,0.029,12.85,0.087,12.164,0.017,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011780579904333900
16808107,14.516697,-0.193523,13.494,0.186,14.782,0.025,14.143,0.029,12.85,0.087,12.164,0.017,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011780579904333900
16808105,14.516696,-0.193523,13.355,0.055,14.788,0.058,14.111,0.048,12.805,0.06,12.23,0.054,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011790082661379200
16808105,14.516696,-0.193523,13.355,0.055,14.788,0.058,14.111,0.048,12.805,0.06,12.23,0.054,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011790082661379200
16808105,14.516696,-0.193523,13.355,0.055,14.788,0.058,14.111,0.048,12.805,0.06,12.23,0.054,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011790082661379200
16808103,14.516693,-0.193531,13.318,0.073,14.973,0.0,14.224,0.026,12.716,0.0,12.274,0.126,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011843681338143200
16808103,14.516693,-0.193531,13.318,0.073,14.973,0.0,14.224,0.026,12.716,0.0,12.274,0.126,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011843681338143200
16808103,14.516693,-0.193531,13.318,0.073,14.973,0.0,14.224,0.026,12.716,0.0,12.274,0.126,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011843681338143200
16808104,14.516694,-0.193538,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011856562889939900
16808104,14.516694,-0.193538,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011856562889939900
16808104,14.516694,-0.193538,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011856562889939900
16808106,14.516697,-0.193548,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.001186083889519710
16808106,14.516697,-0.193548,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.001186083889519710
16808106,14.516697,-0.193548,,,,,,,,,,,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.001186083889519710
16808102,14.516676,-0.193521,13.415,0.062,14.794,0.086,14.132,0.074,12.82,0.076,12.232,0.072,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011974196397320800
16808102,14.516676,-0.193521,13.415,0.062,14.794,0.086,14.132,0.074,12.82,0.076,12.232,0.072,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011974196397320800
16808102,14.516676,-0.193521,13.415,0.062,14.794,0.086,14.132,0.074,12.82,0.076,12.232,0.072,K2-148,14.517816444150000,-0.19315601268,8.0345,-38.792,-23.689,0.6705,0.0011974196397320800
16821544,14.690408,1.383003,11.02,0.09,12.097,0.038,11.552,0.029,10.603,0.067,10.36,0.07,K2-209,14.69067021262,1.38379866651,13.0776,-75.19,-230.322,-26.2,8.37735386752397E-04
16821543,14.690246,1.382881,10.879,0.043,,,,,10.689,0.09,10.405,0.064,K2-209,14.69067021262,1.38379866651,13.0776,-75.19,-230.322,-26.2,0.0010109219999144000
16821542,14.691604,1.382997,,,,,,,10.597,0.0,10.663,0.333,K2-209,14.69067021262,1.38379866651,13.0776,-75.19,-230.322,-26.2,0.0012304957675765600
16350871,14.82676,-19.77118,11.433,0.034,12.136,0.029,11.752,0.008,11.253,0.017,11.092,0.008,TOI-2420,14.826607853630800,-19.77124418076280,2.2495,45.023,18.561,17.74,1.56904295996038E-04
16857579,14.876206,4.227879,11.732,0.183,12.365,0.042,12.017,0.049,11.521,0.163,11.424,0.131,K2-214,14.876086574390000,4.227848227090000,3.2173,-25.221,-17.656,-16.9734,1.23011910781857E-04
37228159,15.006014,-58.904743,12.277,0.016,12.812,0.022,12.493,0.015,12.173,0.042,12.084,0.041,HATS-68,15.00588876146,-58.90475579943,1.6531,22.599,7.345,12.371,6.59352405363614E-05
16809223,15.217577,0.425971,12.383,0.029,12.99,0.026,12.634,0.006,12.222,0.032,12.092,0.02,K2-205,15.217487597560000,0.42600218861000000,2.4944,23.99,-8.409,17.9492,9.46841267597449E-05
16328018,15.218062,-24.423987,9.665,0.0,10.12,0.034,10.106,0.324,9.453,0.0,9.481,0.0,TOI-261,15.21762780621,-24.423944457530000,8.7997,108.585,-11.376,9.2,3.9762054587804E-04
36504787,15.55139,-61.756232,,,,,17.105,0.042,15.81,0.009,14.575,0.031,HATS-71,15.551169341470000,-61.75601711033,7.1121,79.128,-26.985,24.1,2.38917070197639E-04
2580881,15.598181,37.185438,,,,,,,,,,,HD 6061,15.598196593290000,37.18548278214,14.7714,-9.721,-10.089,10.14,4.6473313371782E-05
2980354,15.654358,51.303917,12.114,0.05,12.939,0.063,12.487,0.038,11.881,0.057,11.637,0.038,TOI-3693,15.654441704170000,51.30398351217000,5.6876,-6.962,-21.307,3.49,8.46309238967012E-05
2530797,15.788576,35.389065,10.207,0.05,10.844,0.012,10.567,0.053,10.064,0.02,,,TOI-6651,15.78853463335,35.38913212444000,4.7274,10.544,-21.279,-14.65,7.51197445686973E-05
4701465,16.184893,74.331306,11.506,0.067,12.067,0.114,11.786,0.045,11.394,0.049,11.277,0.038,TOI-2046,16.184843428170000,74.33134919196,3.4729,6.19,-10.143,0.0,4.5219306390779E-05
16918077,16.227506,7.269249,15.11,0.052,16.218,0.05,15.691,0.101,14.648,0.027,14.335,0.118,K2-281,16.22737372858,7.269212814330000,2.107,22.744,0.946,9.17,1.3610664541334E-04
